week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,runtime,weekly_views,cumulative_weeks_in_top_10,is_staggered_launch,episode_launch_details
2022-01-02,TV (Non-English),3,Money Heist,Money Heist: Part 5,26310000,,,11,False,
2021-12-26,TV (Non-English),1,Money Heist,Money Heist: Part 5,33470000,,,10,False,
2021-12-19,TV (Non-English),1,Money Heist,Money Heist: Part 5,55010000,,,9,False,
2021-12-19,TV (Non-English),6,Money Heist,Money Heist: Part 1,12590000,,,7,False,
2021-12-12,TV (Non-English),1,Money Heist,Money Heist: Part 5,147950000,,,8,False,
2021-12-12,TV (Non-English),3,Money Heist,Money Heist: Part 1,19870000,,,6,False,
2021-12-12,TV (Non-English),10,Money Heist,Money Heist: Part 2,8170000,,,3,False,
2021-12-05,TV (Non-English),1,Money Heist,Money Heist: Part 5,189920000,,,7,False,
2021-11-21,TV (Non-English),9,Love Never Lies,Love Never Lies: Season 1,8370000,,,1,False,
2021-10-10,TV (Non-English),9,Money Heist,Money Heist: Part 5,9730000,,,6,False,
2021-10-03,TV (Non-English),7,Money Heist,Money Heist: Part 5,14250000,,,5,False,
2021-10-03,TV (Non-English),10,Money Heist,Money Heist: Part 1,9370000,,,5,False,
2021-09-26,TV (Non-English),3,Money Heist,Money Heist: Part 5,21830000,,,4,False,
2021-09-26,TV (Non-English),6,Money Heist,Money Heist: Part 1,12150000,,,4,False,
2021-09-26,TV (Non-English),7,Jaguar,Jaguar: Season 1,11620000,,,1,False,
2021-09-26,TV (Non-English),9,Money Heist,Money Heist: Part 4,8680000,,,4,False,
2021-09-19,TV (Non-English),2,Money Heist,Money Heist: Part 5,39910000,,,3,False,
2021-09-19,TV (Non-English),3,Money Heist,Money Heist: Part 1,19340000,,,3,False,
2021-09-19,TV (Non-English),6,Money Heist,Money Heist: Part 4,12270000,,,3,False,
2021-09-19,TV (Non-English),7,Money Heist,Money Heist: Part 2,11940000,,,2,False,
2021-09-19,TV (Non-English),8,Money Heist,Money Heist: Part 3,11490000,,,3,False,
2021-09-12,TV (Non-English),1,Money Heist,Money Heist: Part 5,123170000,,,2,False,
2021-09-12,TV (Non-English),2,Money Heist,Money Heist: Part 1,38030000,,,2,False,
2021-09-12,TV (Non-English),3,Money Heist,Money Heist: Part 2,16720000,,,1,False,
2021-09-12,TV (Non-English),4,Money Heist,Money Heist: Part 4,16720000,,,2,False,
2021-09-12,TV (Non-English),6,Money Heist,Money Heist: Part 3,14410000,,,2,False,
2021-09-05,TV (Non-English),1,Money Heist,Money Heist: Part 5,201910000,,,1,False,
2021-09-05,TV (Non-English),2,Money Heist,Money Heist: Part 1,22710000,,,1,False,
2021-09-05,TV (Non-English),4,Money Heist,Money Heist: Part 4,14870000,,,1,False,
2021-09-05,TV (Non-English),10,Money Heist,Money Heist: Part 3,7070000,,,1,False,
2021-08-01,TV (Non-English),10,Elite,Elite: Season 4,6920000,,,5,False,
2021-07-25,TV (Non-English),7,Elite,Elite: Season 4,9410000,,,4,False,
2021-07-18,TV (Non-English),4,Elite,Elite: Season 4,14240000,,,3,False,
2021-07-11,TV (Non-English),2,Elite,Elite: Season 4,21780000,,,2,False,
2021-07-04,TV (Non-English),1,Elite,Elite: Season 4,38720000,,,1,False,
2021-07-04,TV (Non-English),6,Elite,Elite: Season 1,10530000,,,1,False,
2021-07-04,TV (Non-English),7,Elite,Elite: Season 3,10200000,,,1,False,
2021-07-04,TV (Non-English),8,Elite,Elite: Season 2,10140000,,,1,False,
